Ramp 10.00 øC/min to 260.00 øC,,
Time,Temperature,Heat Flow (Normalized)
min,øC,W/g
1,24.96,-0.043
1,24.96,-0.043
1,24.96,-0.043
1.01,24.96,-0.043
1.01,24.96,-0.043
1.01,24.96,-0.043
1.01,24.96,-0.043
1.01,24.96,-0.043
1.02,24.96,-0.043
1.02,24.96,-0.043
1.02,24.96,-0.043
1.02,24.96,-0.043
1.02,24.96,-0.043
1.02,24.96,-0.043
1.03,24.96,-0.043
1.03,24.96,-0.043
1.03,24.96,-0.043
1.03,24.96,-0.043
1.03,24.96,-0.043
1.03,24.96,-0.043
1.03,24.96,-0.043
1.04,24.96,-0.043
1.04,24.96,-0.043
1.04,24.96,-0.043
1.04,24.96,-0.043
1.04,24.96,-0.043
1.05,24.96,-0.043
1.05,24.96,-0.043
1.05,24.97,-0.043
1.05,24.97,-0.044
1.05,24.97,-0.044
1.05,24.97,-0.044
1.05,24.97,-0.044
1.06,24.97,-0.045
1.06,24.97,-0.045
1.06,24.97,-0.046
1.06,24.97,-0.047
1.06,24.98,-0.048
1.07,24.98,-0.049
1.07,24.98,-0.05
1.07,24.98,-0.051
1.07,24.99,-0.052
1.07,24.99,-0.054
1.07,24.99,-0.055
1.08,24.99,-0.056
1.08,25,-0.057
1.08,25,-0.058
1.08,25,-0.059
1.08,25.01,-0.061
1.08,25.01,-0.062
1.08,25.01,-0.064
1.09,25.02,-0.065
1.09,25.02,-0.066
1.09,25.03,-0.067
1.09,25.03,-0.068
1.09,25.04,-0.069
1.09,25.04,-0.071
1.1,25.05,-0.072
1.1,25.05,-0.074
1.1,25.06,-0.075
1.1,25.06,-0.076
1.1,25.07,-0.078
1.11,25.08,-0.079
1.11,25.08,-0.08
1.11,25.09,-0.082
1.11,25.09,-0.083
1.11,25.1,-0.084
1.11,25.11,-0.086
1.12,25.12,-0.087
1.12,25.12,-0.088
1.12,25.13,-0.09
1.12,25.14,-0.091
1.12,25.15,-0.092
1.12,25.15,-0.093
1.13,25.16,-0.095
1.13,25.17,-0.096
1.13,25.18,-0.097
1.13,25.19,-0.099
